id,name,characteristic,period_s,phases,flash_s,optic,optic_evidence,rpm,panels,sim_mode,sec_per_turn,turn_source,beam_width_deg,width_source,sectored,flags
keating-point-lighthouse-and-dgps-station,KEATING POINT LIGHTHOUSE AND DGPS STATION,"Fl (1) W 10 sec (fl 0.15, ec 9.85 sec)",10,"[0.15, 9.85]",0.15,revolving,"Type: Rotating Beacon; Rotation Device: Motor drive- 3Ph, electronically commuted 30 pole direct drive (R.P.M. blank)",,,revolving,10,one turn per period (no usable rpm or panel count),1.5,ledger horizontal divergence,False,divergence 1.5° at 10 s/turn gives a 0.04 s flash; ledger says 0.15 s
kilakkarai-lighthouse,Kilakkarai Lighthouse,Single white flash every 15 sec (0.1+14.9),15,"[0.1, 14.9]",0.1,revolving,Rotation Device: Brushless DC motor gearless direct drive; R.P.M. 4.0,4.0,1,revolving,15,ledger 4 rpm,2.4,ledger horizontal divergence,False,
kiltan-lighthouse-north,KILTAN LIGHTHOUSE (NORTH),Fl (2) W 15 sec,15,"[0.53, 1.5, 0.53, 12.44]",0.53,flasher,"Type: Electronic Flashing Unit; LED marine flashing lantern, 9 LED arranged in circular array",,,flashing,,ledger: LED flasher / fixed optic,,,False,
kiltan-lighthouse-south,KILTAN LIGHTHOUSE (SOUTH),Fl (1) W 10 sec,10,"[0.53, 9.47]",0.53,revolving,Type: Revolving type; Drive: Dual stepper motor; R.P.M. 3,3,2,revolving,20,ledger 3 rpm,0.68,ledger horizontal divergence,False,divergence 0.68° at 20 s/turn gives a 0.04 s flash; ledger says 0.53 s
kodikkarai-lighthouse,KODIKKARAI LIGHTHOUSE,Fl (1) W 10 sec (fl 0.22(F)+9.8),10,"[0.22, 9.8]",0.22,revolving,Optic: Revolving Beacon; Pedestal: Revolving; Rotation Device: stepper motor; R.P.M. 1 r.p.m,1,6,revolving,60,ledger 1 rpm,1.5,implied by flash duration and rotation,False,
koltapalm-lighthouse,Koltapalm Lighthouse,Fl (2) W 10 Sec (1+1+1+7=10 sec),10,"[1.0, 1.0, 1.0, 7.0]",1,flasher,Type: LED Flasher; Rotation Device: 'White Flashing Light'; R.P.M.: NA,,,flashing,,ledger: LED flasher / fixed optic,,,False,
korlai-fort-lighthouse,Korlai Fort Lighthouse,"fl. W 3 Sec. (fl. 1, ec 2)",3,"[1.0, 2.0]",0.95,revolving,Type: Revolving with acrylic flat Fresnel lenses; Rotation Device: Stepper Motor; R.P.M. 2.5,2.5,8,revolving,24,ledger 2.5 rpm,5.7,ledger horizontal divergence,False,
koteshwar-lighthouse-vts-station,Koteshwar Lighthouse & VTS station,"Fl (2)W15 sec [(fl 1s, ec 3s), fl 1s, ec10s]",15,"[1.0, 3.0, 1.0, 10.0]",1,flasher,Type of Light (LED Flasher); Type of Light structure: Stationary LED flashing light,,,flashing,,ledger: LED flasher / fixed optic,,,False,
kovilthottam-lighthouse,Kovilthottam LIGHTHOUSE,Fl (1) W 5 sec (FL.1 dfark 4sec),5,"[1.0, 4.0]",1,flasher,Size: 250mm 4th order Fixed; Pedestal: Fixed; Rotation Device and R.P.M. blank,,1,flashing,,ledger: LED flasher / fixed optic,,,False,
krishnapatnam-lighthouse,Krishnapatnam Lighthouse,Flash (3) White every 15 Sec. (FL0.48Sec. +ec2.02+Fl0.48 ec2.02 sec+ Fl0.48 +9.52sec),15,"[0.48, 2.02, 0.48, 2.02, 0.48, 9.52]",0.48,revolving,300 mm (4th order large) Revolving; Twin stepper motor direct drive; Rotation Speed 2 RPM,2,6,revolving,30,ledger 2 rpm,5.73,ledger horizontal divergence,False,
kundapur-lighthouse,Kundapur Lighthouse,fl (2)W 10 Sec.,10,"[0.1, 1.0, 0.1, 8.8]",0.1,revolving,WM – RB 500 Marine Rotating Beacon; Rotation Device: Dual Stepper Motor 40 Kg/cm; R.P.M. 3,3,4,revolving,20,ledger 3 rpm,1.65,ledger horizontal divergence,False,
kuthenkuli-lighthouse,Kuthenkuli Lighthouse,Fl (3) W 20 sec (fl 1.5) (1.5+2+1.5+2+1.5+11.5=20Sec),20,"[1.5, 2.0, 1.5, 2.0, 1.5, 11.5]",1.5,revolving,Rotation Device: 20KG Stepper motor with Drive Controller; R.P.M. 1.5,1.5,6,revolving,40,ledger 1.5 rpm,7.6,ledger horizontal divergence,False,
little-andaman-lighthouse,LITTLE ANDAMAN LIGHTHOUSE,fl (1) W 10 sec,10,"[0.25, 9.75]",0.25,revolving,"Type: Rotating Beacon; Rotation Device: Motor drive- 3Ph, electronically commuted 30 pole direct drive (R.P.M. blank)",,,revolving,10,one turn per period (no usable rpm or panel count),1.5,ledger horizontal divergence,False,divergence 1.5° at 10 s/turn gives a 0.04 s flash; ledger says 0.25 s
luhara-point-lighthouse,Luhara Point Lighthouse,fl W 15 Sec.(FL 0.5 Sec+14.5 Sec),15,"[0.5, 14.5]",0.5,revolving,Type: GRL-48MK-II gearless rotation; Rotation Device: 12V DC stepper motor; R.P.M. 1,1,4,revolving,60,ledger 1 rpm,3.0,implied by flash duration and rotation,False,
machilipatnam-lighthouse,Machilipatnam Lighthouse,"Gr. FL(3) W. 20 Seconds (F1 0.5, EC 2.0, F2 0.5, EC 2.0, F3 0.5, EC 14.5 sec.)",20,"[0.5, 2.0, 0.5, 2.0, 0.5, 14.5]",0.5,revolving,Rotation Speed: 3 RPM,3,3,revolving,20,ledger 3 rpm,9,ledger horizontal divergence,False,
mahabalipuram-lighthouse,MAHABALIPURAM LIGHTHOUSE,FL (1) W 10 Sec (fl 0.4),10,"[0.4, 9.6]",0.4,revolving,Type: Revolving; Rotation Device dual stepper motor assembly; R.P.M. 2 r.p.m,2,3,revolving,30,ledger 2 rpm,5.57,ledger horizontal divergence,False,
kannur-lighthouse,Kannur Lighthouse,Flash (1) W 10 sec (2.04+7.94),10,"[2.04, 7.94]",2.04,revolving,Rotation Device: Stepper motor; R.P.M. 1.5; Pedestal: Ball bearing,1.5,4,revolving,40,ledger 1.5 rpm,12.22,ledger horizontal divergence,False,
mallipattinam-lighthouse,MALLIPATTINAM LIGHTHOUSE,Fl (1) W 5 sec (fl 0.5),5,"[0.5, 4.5]",0.5,revolving,"Optic: Rotating beacon, MBR-300; Rotation Device: Inbuilt stepper motor with drive; R.P.M. 2 r.p.m",2,6,revolving,30,ledger 2 rpm,2.4,ledger horizontal divergence,False,
malpe-lighthouse,Malpe Lighthouse,Fl(White)3sec.,3,"[2.5, 0.5]",2.5,flasher,Optic: Drum optic; Rotation Device --; R.P.M. --,,1,flashing,,ledger: LED flasher / fixed optic,,,False,
manakkodam-lighthouse,Manakkodam Lighthouse,Fl (2) W 10 sec,10,"[0.64, 1.0, 0.64, 7.72]",0.64,revolving,Size: 300mm (4th order large) Revolving; Rotation Device: Stepper motor; R.P.M. 3,3,4,revolving,20,ledger 3 rpm,7.64,ledger horizontal divergence,False,
manapad-point-lighthouse,Manapad Point Lighthouse,Group Flash 2(White) every 10Sec's (F1: 0.187+sec.2.376+F1:0.187+sec.7.250),10,"[0.187, 2.376, 0.187, 7.25]",0.187,revolving,Type: Revolving Optic; Rotation Device: Stepper Motor with Drive controller; R.P.M. 6 RPM,6,2,revolving,10,ledger 6 rpm,6.73,ledger horizontal divergence,False,
mandvi-lighthouse-vts-station,Mandvi Lighthouse & Vts Station,"Group flash 3 white every 30 sec [(fl 1s, ec 5s)*2, fl 1s, ec 17s]",30,"[1.0, 5.0, 1.0, 5.0, 1.0, 17.0]",1,flasher,Type of Light structure: Stationary LED flashing light,,,flashing,,ledger: LED flasher / fixed optic,,,False,
mangrol-lighthouse,Mangrol Lighthouse,FL 2 (W) every (0.5+2+0.5+17=20s) 20Sec.,20,"[0.5, 2.0, 0.5, 17.0]",0.5,revolving,Rotation Device: Stepper motor; R.P.M. 1.5,1.5,4,revolving,40,ledger 1.5 rpm,9,ledger horizontal divergence,False,
mawadi-point-beacon,Mawadi Point Beacon,Fl (R) 10Sec. (1 + 9 = 10Sec),10,"[1.0, 9.0]",1,flasher,Type of Light (LED Flasher); Type of flasher: Marine LED Flasher,,,flashing,,ledger: LED flasher / fixed optic,,,False,
menchal-lighthouse,Menchal Lighthouse,Fl (1) W 10 Sec (fl 0.8),10,"[0.8, 9.2]",0.8,flasher,Type: LED Flasher; R.P.M.: NA,,,flashing,,ledger: LED flasher / fixed optic,,,False,
middle-button-lighthouse,Middle Button Lighthouse,"Fl (2) W 20 Sec (fl 1.0,ec 3.0, fl 1, ec 15)",20,"[1.0, 3.0, 1.0, 15.0]",1.0,flasher,Type: LED Flasher; Rotation Device: White Flashing Light; R.P.M. NA,,,flashing,,ledger: LED flasher / fixed optic,,,False,
minicoy-north-lighthouse,Minicoy North Lighthouse,Flash (2) white every 10 seconds.,10,"[0.7, 1.0, 0.7, 7.6]",,flasher,Make: MBL-160 Marine Flasher; Type: LED,,,flashing,,ledger: LED flasher / fixed optic,,,False,
minicoy-south-lighthouse-dgps-station,Minicoy South Lighthouse & Dgps Station,Fl (1) W 15 sec (0.66 + 14.34),15,"[0.66, 14.34]",0.66,revolving,Size: 920mm (1ST Order) Revolving; Rotation Device: Stepper motor; R.P.M. 4/3 RPM,1.333,3,revolving,45,ledger 1.333 rpm,2.49,ledger horizontal divergence,False,
mount-dilli-lighthouse,MOUNT DILLI LIGHTHOUSE,Fl (2) W 20 sec (fl 0.53) (0.53+1.97+0.53+16.97=20Seconds),20,"[0.53, 1.97, 0.53, 16.97]",0.53,revolving,Type: Revolving Beacon; Rotation Device: Stepper motor; R.P.M. 3 RPM (one revolution in 45 Sec),3,2,revolving,20,ledger 3 rpm,7.64,ledger horizontal divergence,False,
mungra-reef-lighthouse,Mungra Reef Lighthouse,Fl (2) W 15Sec. 0.75+1+0.75+12.5 = 15Sec.,15,"[0.75, 1.0, 0.75, 12.5]",0.75,flasher,"Navaid NE-9 LED Light Beacon, drum optic, Type of flasher: Auto-flash; Pedestal N/A",,,flashing,,ledger: LED flasher / fixed optic,,,True,
muttom-point-lighthouse-and-navtex-station,Muttom Point Lighthouse And Navtex Station,Single Fl (W) every 5 seconds,5,"[0.45, 4.55]",,revolving,Rotation Device: Inbuilt stepper motor with drive; R.P.M. 3 RPM; Pedestal: Mercury Float,3,4,revolving,20,ledger 3 rpm,5.57,ledger horizontal divergence,False,
nagapattinam-lighthouse-and-dgps-station,NAGAPATTINAM LIGHTHOUSE AND DGPS STATION,Flash (2) White in every 20 Seconds (0.5+2.0)+0.5+17.0),20,"[0.5, 2.0, 0.5, 17.0]",0.5,revolving,Optic/type: Rotating Beacon; Rotation device: stepper motor; RPM 1.5,1.5,2,revolving,40,ledger 1.5 rpm,2.4,ledger horizontal divergence,False,ledger lists 2 panels; its rpm and rhythm imply 4
nagayalanka-lighthouse,Nagayalanka Lighthouse,FL W EV. 15 Seconds (Fl 11.16+03.84= 15 sec.),15,"[11.16, 3.84]",1.16,revolving,Size: 700 mm (2nd order) revolving; Rotation Device: Stepper Motors; Rotation Speed 1 RPM,1,4,revolving,60,ledger 1 rpm,66.96,implied by flash duration and rotation,False,
nanwel-point-lighthouse,Nanwel Point Lighthouse,"fl (3) W 15 Sec. (FL 0.33, ec. 12.7 ) fl 0.33, ec. 2.17, fl 0.33, ec. 9.67)",25.53,"[0.33, 12.7, 0.33, 2.17, 0.33, 9.67]",0.52,revolving,Type: Revolving; Rotation Device: Dual Stepper Motor 40 Kgcm; R.P.M. 4,4,3,revolving,25.53,3 panels × 25.53 s,12.54,ledger horizontal divergence,False,"4 rpm = 15.0 s per turn, not a whole number of 25.53 s periods"
narcondum-lighthouse,NARCONDUM LIGHTHOUSE,"F (3)W 20 Sec (fl 0.8, ec 1.2) x 2, fl 0.8, ec15.2",20,"[0.8, 1.2, 0.8, 1.2, 0.8, 15.2]",0.8,flasher,Type: LED Flasher; Rotation Device: WhiteFlashing Light; R.P.M. NA,,,flashing,,ledger: LED flasher / fixed optic,,,False,
navadra-lighthouse,Navadra Lighthouse,Fl(3)W15 Sec. (0.4+1.5)2+0.4+10.8=15 Sec),15,"[0.4, 1.5, 0.4, 1.5, 0.4, 10.8]",0.4,revolving,Rotation Device: Stepper motor; R.P.M. 4,4,3,revolving,15,ledger 4 rpm,9,ledger horizontal divergence,False,
navibandar-lighthouse,Navibandar Lighthouse,Fl(1)W10 Sec. (1+9=10 Sec),10,"[1.0, 9.0]",1,flasher,Type: LED lantern; Rotation Device NIL; R.P.M. NIL,,,flashing,,ledger: LED flasher / fixed optic,,,False,
navinal-lighthouse-and-vts-station,Navinal Lighthouse And Vts Station,Gp Fl 2 (W) every 10 Second,10,"[0.7, 1.0, 0.7, 7.6]",,flasher,Optical Equipment: SL-155 With 9 degree elevation; Type of Light (LED Flasher); LED LANTERN,,,flashing,,ledger: LED flasher / fixed optic,,,False,
navlakhi-lighthouse,Navlakhi Lighthouse,Fl (W) 10Sec. (1 + 9 = 10Sec),10,"[1.0, 9.0]",1,flasher,Type of Light (LED Flasher); Lantern: 12NM MLB-200-13 marine LED lantern,,,flashing,,ledger: LED flasher / fixed optic,,,False,
nawabander-lighthouse,Nawabander Lighthouse,4Fl (W) 12Sec. (0.75 + 1)3 +0.75+6 = 12Sec,12,"[0.75, 1.0, 0.75, 1.0, 0.75, 1.0, 0.75, 6.0]",0.75,,"Only Make 'Sealite' given; type, rotation device and R.P.M. blank",,,flashing,,ledger does not state the optic,,,False,
nizampatnam-lighthouse,Nizampatnam Lighthouse,"Flash White, every 5Seconds (Fl 0.5 + ec4.5 = 5 sec.)",5,"[0.5, 4.5]",0.5,revolving,Rotation Device: Stepper motor 7 kg-cm (Gearless drive); Rotation Speed 1.5 RPM,1.5,8,revolving,40,ledger 1.5 rpm,4.56,ledger horizontal divergence,False,
north-brother-lighthouse,NORTH BROTHER LIGHTHOUSE,"Fl (2) W 20 Sec (fl 0.5, ec 4.5 ec, fl 0.5, ec 14.5)",20,"[0.5, 4.5, 0.5, 14.5]",0.5,flasher,Type: LED Flasher; Rotation Device: White Flashing Light; R.P.M. NA,,,flashing,,ledger: LED flasher / fixed optic,,,False,
north-button-lighthouse,NORTH BUTTON LIGHTHOUSE,Fl (1) W 10 Sec fl 0.8,10,"[0.8, 9.2]",0.8,flasher,Type: LED Flasher; Rotation Device: White Flashing Light; R.P.M. NA,,,flashing,,ledger: LED flasher / fixed optic,,,False,
north-cinque-lighthouse,North Cinque Lighthouse,"Fl (1) W 10 Sec. (fl 0.5,ec 9.5)",10,"[0.5, 9.5]",0.5,flasher,Type: LED Flasher; Rotation Device: 'White Flashing Light'; R.P.M.: NA,,,flashing,,ledger: LED flasher / fixed optic,,,False,
north-point-lighthouse,North Point Lighthouse,"fl (2) W 12 sec (fl 0.5, ec 1.0, fl 0.5, ec 10)",12,"[0.5, 1.0, 0.5, 10.0]",0.5,revolving,Rotation Device: Stepper motor; R.P.M. 2.5; Pedestal: Mercury float,2.5,4,revolving,24,ledger 2.5 rpm,0.38,ledger horizontal divergence,False,divergence 0.38° at 24 s/turn gives a 0.03 s flash; ledger says 0.5 s
okha-lighthouse-dgps-and-vts-station,OKHA Lighthouse DGPS And VTS Station,"Fl (3) W.25 sec.(Fl-1. 0.41, ec. 4.59, Fl-2.0.41, ec.4.59, Fl-3. 0.41, ec.14.59)",25,"[0.41, 4.59, 0.41, 4.59, 0.41, 14.59]",0.41,revolving,250 mm dia (4th order) revolving; Rotation device 20 kg.cm stepper motor; R.P.M 2.4,2.4,3,revolving,25,ledger 2.4 rpm,2.73,ledger horizontal divergence,False,
olakuda-lighthouse,Olakuda Lighthouse,Group Flash (2) White every 20 Seconds (0.75+2.0+0.75+16.5),20,"[0.75, 2.0, 0.75, 16.5]",0.75,flasher,Type: LED FLASHER; Rotation Device N/A; R.P.M. N/A,,,flashing,,ledger: LED flasher / fixed optic,,,False,
oyster-rocks-lighthouse,The Oyster Rocks lighthouse,"fl. W 10 Sec. (fl 0.25, ec 9.75)",10,"[0.25, 9.75]",0.25,revolving,Type: Revolving; Rotation Device: Dual Stepper Motor; R.P.M. 3,3,2,revolving,20,ledger 3 rpm,4.48,ledger horizontal divergence,False,
pamban-lighthouse,Pamban Lighthouse,Single White Flash in every 5 Seconds (0.9+4.1),5,"[0.9, 4.1]",0.9,flasher,Type: LED FLASHER; Rotation Device N/A; R.P.M. N/A,,,flashing,,ledger: LED flasher / fixed optic,,,False,
pandiyan-tivu-lighthouse-and-dgps-station,Pandiyan Tivu Lighthouse And Dgps Station,Flashing white every 10sec,10,"[0.5, 9.5]",0.5,revolving,Rotation Device: 20 kg/cm Stepper motor; R.P.M. 3; pedestal on journal and thrust bearings,3,2,revolving,20,ledger 3 rpm,7.2,ledger horizontal divergence,False,
paradeep-lighthouse,Paradeep Lighthouse,Fl (3) W 30 Sec.,30,"[0.75, 2.0, 0.75, 2.0, 0.75, 23.75]",0.75,revolving,Optical equipment: TRB 220 (Revolving); RPM 2,2,6,revolving,30,ledger 2 rpm,2.4,ledger horizontal divergence,False,ledger lists 6 panels; its rpm and rhythm imply 3 | divergence 2.4° at 30 s/turn gives a 0.20 s flash; ledger says 0.75 s
passipattinam-lighthouse,Passipattinam Lighthouse,Fl (3) W every10 sec (0.5+1.5+0.3+1.5+0.3+6.1=10),10,"[0.5, 1.5, 0.3, 1.5, 0.3, 6.1]",0.5,revolving,"Type: Revolving, Model VRB-25-LED; R.P.M. 3 r.p.m (Rotation Device '-')",3,6,revolving,20,ledger 3 rpm,3.04,ledger horizontal divergence,False,
pentakota-lighthouse,Pentakota Lighthouse,"Fl. W 15 Sec. (Fl. 1.5 +, ec. 13.5= 15 sec.)",15,"[1.5, 13.5]",1.5,revolving,150 mm (6th order) revolving; twin stepper motor direct drive; Rotation Speed 1 RPM,1,4,revolving,60,ledger 1 rpm,7.5,ledger horizontal divergence,False,
perigee-light-vesselmain-light,Perigee Light Vessel(Main Light),Fl (W) 7Sec. (0.5 + 6.5 = 7Sec),7,"[0.5, 6.5]",0.5,flasher,Type: LED Lantern; Illuminant 12V/20W LED Lantern; Rotation Device and R.P.M. blank,,,flashing,,ledger: LED flasher / fixed optic,,,False,
petrie-lighthouse,Petrie Lighthouse,"Fl (1) W 7 Sec fl 1.0, ec 6",7,"[1.0, 6.0]",1.0,flasher,Type: LED Flasher; R.P.M.: NA,,,flashing,,ledger: LED flasher / fixed optic,,,False,
piram-lighthouse,Piram Lighthouse,Fl(2)W10 Sec. (0.3+2.2+0.3+7.2=10 Sec),10,"[0.3, 2.2, 0.3, 7.2]",0.3,revolving,Type: 300 mm (4th order) revolving type; Rotation Device: Stepper motor; R.P.M. 3,3,4,revolving,20,ledger 3 rpm,21.0,ledger horizontal divergence,False,divergence 20.9998° at 20 s/turn gives a 1.17 s flash; ledger says 0.3 s
pirotan-lighthouse,Pirotan Lighthouse,Fl W 20 sec. (0.4+19.6 = 20 sec.),20,"[0.4, 19.6]",0.4,revolving,Size: 500 mm (3rd order large) revolving type; Rotation device: stepper motor; R.P.M.: 3,3,2,revolving,20,ledger 3 rpm,12.6,ledger horizontal divergence,False,ledger lists 2 panels; its rpm and rhythm imply 1
point-calimere-lighthouse,POINT CALIMERE LIGHTHOUSE,Fl (3) W 10 sec (0.3f +1.5+0.3f+1.5+0.3f+6.1)sec,10,"[0.3, 1.5, 0.3, 1.5, 0.3, 6.1]",0.3,flasher,"Type: LED Flasher; illuminant 90 watts LED Flasher, 2 Array LED Flasher; Rotation Device and R.P.M. blank",,,flashing,,ledger: LED flasher / fixed optic,,,False,
ponnani-lighthouse,PONNANI LIGHTHOUSE,Single Flash White - 15 sec (0.48+14.52=15 sec),15,"[0.48, 14.52]",0.48,revolving,Optic: Revolving; Rotation Device: Dual Stepper motor; R.P.M. 2,2,2,revolving,30,ledger 2 rpm,3.8,ledger horizontal divergence,False,
poompuhar-lighthouse,Poompuhar Lighthouse,Flash(4) every 15 seconds (0.35+2.2+0.35+2.2+0.35+2.2+0.35+7.0=15sec),15,"[0.35, 2.2, 0.35, 2.2, 0.35, 2.2, 0.35, 7.0]",0.35,revolving,"Optic: Rotating beacon, MBR-300; Rotation Device: Inbuilt stepper motor with drive; R.P.M. 4",4,6,revolving,15,ledger 4 rpm,2.4,ledger horizontal divergence,False,ledger lists 6 panels; its rpm and rhythm imply 4 | divergence 2.4° at 15 s/turn gives a 0.10 s flash; ledger says 0.35 s
porbandar-lighthouse,Porbandar Lighthouse,Fl(1)W5 Sec. (0.25+4.75=5 Sec),5,"[0.25, 4.75]",0.25,revolving,Rotation Device: Stepper motor; R.P.M. 2,2,6,revolving,30,ledger 2 rpm,9,ledger horizontal divergence,False,
port-cornwallis,Port Cornwallis,"Fl (2) W 20 Sec (fl 1.0, ec 3.0, fl 1, ec 15)",20,"[1.0, 3.0, 1.0, 15.0]",1.0,flasher,Type: LED Flasher; Rotation Device: White Flashing Light; R.P.M. NA,,,flashing,,ledger: LED flasher / fixed optic,,,False,
portonovo-lighthouse-and-navtex-station,Portonovo Lighthouse And Navtex Station,Single FL.W. every 15 Sec,15,"[0.95, 14.05]",,revolving,Type: Rotating Beacon; Rotation Device: In built DC Motor; R.P.M. 4,4,6,revolving,15,ledger 4 rpm,9.8,ledger horizontal divergence,False,ledger lists 6 panels; its rpm and rhythm imply 1
prayagi-lighthouse,Prayagi Lighthouse,GR FL (2) W 10 SEC,10,"[0.2, 1.0, 0.2, 8.6]",0.2,revolving,Optical Equipment TRB 220; RPM 3,3,3,revolving,20,ledger 3 rpm,2.4,ledger horizontal divergence,False,ledger lists 3 panels; its rpm and rhythm imply 4
prongs-reef-lighthouse,Prongs reef Lighthouse,Fl W 10 Sec.,10,"[0.27, 9.73]",0.27,revolving,Optic: Marine Rotating Beacon; Rotation Device: 2 Nos. Stepper Motors; R.P.M. 1,1,6,revolving,60,ledger 1 rpm,1.5,ledger horizontal divergence,False,
pudimadaka-lighthouse,Pudimadaka Lighthouse,Fl. (2) W 15 Sec. (0.4+ 3.4 +0.4 +10.8 =15 sec.),15,"[0.4, 3.4, 0.4, 10.8]",0.4,revolving,Size: 300 mm (4th order Large) revolving; Rotation Device: Twin Stepper motor Direct Drive system; Rotation Speed 2 RPM,2,4,revolving,30,ledger 2 rpm,4.58,ledger horizontal divergence,False,
puducherry-lighthouse-and-dgps-station,Puducherry Lighthouse And DGPS Station,"GROUP OF 2 WHITE FLASH IN 15 SEC ( FL-0.48, EC-3.27, FL-0.48, EC-10.77)",15,"[0.48, 3.27, 0.48, 10.77]",0.48,revolving,Type: Revolving; Rotation Device: DC Stepper motor; R.P.M. 2 RPM,2,4,revolving,30,ledger 2 rpm,5.73,ledger horizontal divergence,False,
pulicat-lighthouse-and-dgps-station,Pulicat Lighthouse And DGPS Station,Single FL (1) WHITE Every 5 Seconds (0.25 + 4.75),5,"[0.25, 4.75]",0.25,revolving,Optic: Rotating Beacon; Rotation Device: Brushless DC Direct-Drive motor; R.P.M. 2,2,6,revolving,30,ledger 2 rpm,3.0,implied by flash duration and rotation,False,
pulo-milow-lighthouse,PULO MILOW LIGHTHOUSE,Fl (1) W 15 Sec (fl 1.0),15,"[1.0, 14.0]",1.0,flasher,Type: LED Flasher; Rotation Device 'White Flashing Light'; R.P.M. NA,,,flashing,,ledger: LED flasher / fixed optic,,,False,
puri-lighthouse,Puri Lighthouse,FL (3) W 20 SEC,20,"[0.11, 2.0, 0.11, 2.0, 0.11, 15.67]",0.11,revolving,Optical Equipment: TRB 220 (Revolving); RPM 3,3,6,revolving,20,ledger 3 rpm,2.4,ledger horizontal divergence,False,ledger lists 6 panels; its rpm and rhythm imply 3
rajapur-bay-lighthouse,Rajapur Bay Lighthouse,"F1 W 15 Sec. (FL 0.4, sec. 14.6)",15,"[0.4, 14.6]",0.4,revolving,300 mm (4th order large) revolving; Rotation Device: Stepper motor; R.P.M. 2,2,2,revolving,30,ledger 2 rpm,4.97,ledger horizontal divergence,False,
ramayapatnam-lighthouse,Ramayapatnam Lighthouse,Single Flash every 10 Sec.,10,"[0.7, 9.3]",,revolving,Type: MBR-300 Marine Rotating Beacon; Rotation Speed 1 RPM,1,6,revolving,60,ledger 1 rpm,4.2,implied by flash duration and rotation,False,
rameshwaram-dgps-station,Rameshwaram DGPS Station,5,,,,,Optic: N/A,,,,,,,,False,
ratnagiri-town-and-dgps-station,Ratnagiri Town and DGPS Station,Gr. fl W (2) White every 10 Sec. (Fl.0.41 + ec 1.59 + Fl 0.41 + ec 7.59 = 10 Sec.),10,"[0.41, 1.59, 0.41, 7.59]",0.41,revolving,Rotation Device: Dual Stepper Motor 40 Kg/cm2 with auto changeover; R.P.M. 3; Pedestal: Mercury float,3,4,revolving,20,ledger 3 rpm,8.36,ledger horizontal divergence,False,
ravaport-lighthouse,Ravaport Lighthouse,4 FL (W) every 20Seconds (Fl 1sec+2sec ec+ Fl 1sec+2sec ec+ Fl 1sec+2s ec + Fl 1sec+10sec ec),20,"[1.0, 2.0, 1.0, 2.0, 1.0, 2.0, 1.0, 10.0]",1,flasher,Light Beacon (flashing): LED Light Beacon SL-155 on 1.2m G.I pedestal; no rotation device listed,,,flashing,,ledger: LED flasher / fixed optic,,,False,
rosen-point-lighthouse,Rosen Point Lighthouse,Fl (1) W 10 Sec (fl 0.8),10,"[0.8, 9.2]",0.8,flasher,Type: LED Flasher; Rotation Device 'White Flashing Light'; R.P.M. NA,,,flashing,,ledger: LED flasher / fixed optic,,,False,
rutland-lighthouse,Rutland Lighthouse,"Fl (3) W 15 Sec (fl 0.5, ec 1.5) x 2, fl 0.5, ec 10.5",15,"[0.5, 1.5, 0.5, 1.5, 0.5, 10.5]",0.5,flasher,Type: LED Flasher; Rotation Device: White Flashing Light; R.P.M. NA,,,flashing,,ledger: LED flasher / fixed optic,,,False,
ruvapari-lighthouse,Ruvapari Lighthouse,Fl (W) 12Sec. (0.5 + 11.5 = 12Sec),12,"[0.5, 11.5]",0.5,flasher,Illuminant: SL 155 LED LANTERN; Rotation Device and R.P.M. blank,,,flashing,,ledger: LED flasher / fixed optic,,,False,
sacramento-lighthouse,Sacramento Lighthouse,"FL White in every 5 Seconds (Fl .0.2, ec 4.8 )",5,"[0.2, 4.8]",0.2,revolving,500 mm 3rd Order large Revolving; Twin Stepper motor Direct Drive system; Rotation Speed 6 RPM,6,2,revolving,10,ledger 6 rpm,7.2,implied by flash duration and rotation,True,
sagar-island-lighthouse,Sagar Island Lighthouse,FL (W) in every 3 Sec,3,"[0.3, 2.7]",0.3,revolving,RPM 7; mercury float pedestal,7,8,revolving,24.0,8 panels × 3 s,4.35,ledger horizontal divergence,False,"7 rpm = 8.6 s per turn, not a whole number of 3 s periods"
saiyad-rajpara-lighthouse,Saiyad Rajpara Lighthouse,Fl (W) 5Sec. (1 + 4 = 5Sec),5,"[1.0, 4.0]",1,,Optical equipment section left blank,,,flashing,,ledger does not state the optic,,,False,
samiyani-island-lighthouse-station,Samiyani Island Lighthouse Station,Flashing (W) every5 sec,5,"[0.45, 4.55]",,flasher,"Optical equipment: Sealite SL-155 2.5D lantern, 'White flash every5 sec'; battery/solar powered, no rotation device",,,flashing,,ledger: LED flasher / fixed optic,,,True,
samiyani-north-island-lighthouse-station,Samiyani North Island Lighthouse Station,Flashing (Green) every 3 sec FL 0.5 sec + EC 2.5 sec,3,"[0.5, 2.5]",0.5,flasher,"Optical Equipment: LED Lantern, Sealite SL-125-2",,,flashing,,ledger: LED flasher / fixed optic,,,False,
santapalli-lighthouse,Santapalli Lighthouse,"FL (2) White, every 10 Seconds (Fl 0.2 ec2.3 Fl0.2 ec7)",10,"[0.2, 2.3, 0.2, 7.0]",0.2,revolving,500 mm 3rd Order Large Revolving; twin stepper motor direct drive; Rotation Speed 6 RPM,6,2,revolving,10,ledger 6 rpm,7.2,implied by flash duration and rotation,False,
